Source	exists	Target
Question mark	True	????
?????	True	????
???	True	????
✡	True	Jews
Kikes	True	Jews
ZOG	True	Jews
Probopass	True	Jews
Biggest problem on the planet	True	Jews
The jew cries out in pain as he strikes you	True	Jews
Yiddish	True	Jews
Soap	True	Jews
Gold nigger	True	Jews
Hooknose	True	Jews
Wormy kikes	True	Jews
Kike	True	Jews
Zionists	True	Jews
Expensive	True	Jews
Parasite	True	Jews
Debt	True	Jews
Zionist	True	Jews
Back-stabbers	True	Jews
Thieves	True	Jews
Joo	True	Jews
Jewish	True	Jews
Backstabber	True	Jews
Backstabbed	True	Jews
Leeches	True	Jews
Subhuman	True	Jews
Cheap	True	Jews
Joos	True	Jews
Jooz	True	Jews
JEW	True	Jews
Louis Theroux	True	Jews
Zionist Occupation Government	True	Jews
Hebe	True	Jews
Kyke	True	Jews
Kabbalah	True	Jews
Juden	True	Jews
Koch Brothers	True	Jews
Firewood	True	Jews
Judas	True	Jews
Jew	True	Jews
Enabler	True	Jews
DLC	True	Jews
Mel brooks	True	Jews
Luxembourg	True	Jews
Jewess	True	Jews
ADL	True	Jews
Jew-ish	True	Jews
Heeb	True	Jews
Jewry	True	Jews
Kikess	True	Jews
Anti-Defamation League	True	Jews
Goblinkike	True	Jews
Rich people	True	Jews
Judaism	True	Jews
Adam Sandler	True	Jews
JEWS	True	Jews
Semite	True	Jews
Niger	True	Nigger
Black person	True	Nigger
Chimp	True	Nigger
Mandingo	True	Nigger
King Kong	True	Nigger
Porch monkey	True	Nigger
Jay-z	True	Nigger
Coon	True	Nigger
♠	True	Nigger
Niggas	True	Nigger
Blackmail	True	Nigger
Dark	True	Nigger
Black People	True	Nigger
Spook	True	Nigger
Gorilla	True	Nigger
Niggers	True	Nigger
Negros	True	Nigger
NIGGER	True	Nigger
NIGGA	True	Nigger
Ape	True	Nigger
Roody-poo	True	Nigger
Nigs	True	Nigger
African American	True	Nigger
Negroid	True	Nigger
Donkey Kong	True	Nigger
Flavor Flav	True	Nigger
Black Person	True	Nigger
BET	True	Nigger
Blacks	True	Nigger
Black people	True	Nigger
☻	True	Nigger
