source	target
Professional Wrestling	Professional Wrestling
Professional Wrestling	Retard
Professional Wrestling	List of sex moves
Professional Wrestling	Mexico
Professional Wrestling	Homosexuality
Professional Wrestling	Jewnited States of Americunts
Professional Wrestling	ALL CAPS
Pedophilia	13-year-old boy
Pedophilia	Furfag
Pedophilia	Self Injury
Pedophilia	Jews
Pedophilia	DeviantART
Pedophilia	Pedophilia
Pedophilia	Teenager
Pedophilia	Jewnited States of Americunts
Pedophilia	Islam
Pedophilia	Secks
Pedophilia	United States of Australia
Pedophilia	Asperger's Syndrome
Pedophilia	Abortion
Pedophilia	Suicide
Pedophilia	Buttsecks
Pedophilia	Chris-chan
Pedophilia	Transgender
Pedophilia	Christian
Pedophilia	Star Wars
Pedophilia	Retard
DO NOT WANT	Crap
DO NOT WANT	Furfag
DO NOT WANT	Goatse
DO NOT WANT	YOU ARE DOING IT WRONG
DO NOT WANT	300
DO NOT WANT	Over 9000
DO NOT WANT	Africa
Abortion	Communism
Zoe Quinn	Zoe Quinn
Zoe Quinn	Asperger's Syndrome
Zoe Quinn	Suicide
Zoe Quinn	Chris-chan
Zoe Quinn	Fantard
Zoe Quinn	Retard
Zoe Quinn	An hero
Zoe Quinn	You
Brony	Furfag
Brony	Faggot
Brony	Social Justice
Brony	Troll
Brony	Emo
Brony	Basement-dweller
Brony	Liar
Brony	Asperger's Syndrome
Brony	Chris-chan
Brony	Transgender
Brony	Christian
Brony	Retard
Brony	Brony
Brony	16-year-old girl
Brony	You
Best Korea	Communism
Best Korea	Trolling IRL
Best Korea	Europe
Best Korea	Adolf Hitler
Best Korea	Mexico
Best Korea	Jewnited States of Americunts
Best Korea	India
Best Korea	China
Best Korea	Sand niggers
Best Korea	JEWS DID WTC
Best Korea	Best Korea
Best Korea	United States of Australia
Best Korea	Jews
Best Korea	United Kingdom
Best Korea	Barack Obama
Best Korea	Russia
Best Korea	Japan
Best Korea	Injuns
Social Justice	Suicide
Social Justice	Retard
Social Justice	Basement-dweller
Social Justice	Lesbian
Social Justice	Furfag
Social Justice	Rape
Social Justice	Troll
Social Justice	Brony
Social Justice	16-year-old girl
Social Justice	Fact
Social Justice	Social Justice
Social Justice	Transgender
Social Justice	You
Social Justice	Murder
Social Justice	White Devils
Lulz	At least 100
Lulz	Internets
Lulz	Furfag
Lulz	Jews
Lulz	Pr0n
Lulz	Uncyclopedia
Lulz	Secks
Lulz	Encyclopædia Dramatica
Lulz	LOL WUT
Lulz	China
Lulz	Unfunny
Lulz	Pwnt
????	Banned
Star Wars	Goatse
Star Wars	300
Star Wars	Delete fucking everything
Star Wars	Mary Sue
Star Wars	Pedophilia
Star Wars	Unfunny
Star Wars	Star Wars
Star Wars	Islam
Troll	13-year-old boy
Islam	Trolling IRL
Money	Communism
Money	YouTube
Money	Basement-dweller
Money	Whore
Money	Old people
YOU ARE DOING IT WRONG	What
YOU ARE DOING IT WRONG	Retard
YOU ARE DOING IT WRONG	Internets
YOU ARE DOING IT WRONG	Goatse
YOU ARE DOING IT WRONG	W
YOU ARE DOING IT WRONG	Delete fucking everything
YOU ARE DOING IT WRONG	Fail
YOU ARE DOING IT WRONG	Rape
YOU ARE DOING IT WRONG	Internet Tough Guy
YOU ARE DOING IT WRONG	Skript kiddie
YOU ARE DOING IT WRONG	Wimmins
YOU ARE DOING IT WRONG	Troll
YOU ARE DOING IT WRONG	DO NOT WANT
YOU ARE DOING IT WRONG	You
YOU ARE DOING IT WRONG	Unwarranted Self-Importance
YOU ARE DOING IT WRONG	Scientology
YOU ARE DOING IT WRONG	Nazi
Retard	Furfag
Retard	Professional Wrestling
Retard	Self Injury
Retard	Girlvinyl
Retard	OhInternet
Retard	Jews
Retard	DeviantART
Retard	Internet Tough Guy
Retard	Pedophilia
Retard	Social Justice
Retard	Uncyclopedia
Retard	Emo
Retard	Jewnited States of Americunts
Retard	Basement-dweller
Retard	Encyclopædia Dramatica
Retard	Asperger's Syndrome
Retard	Delicious Cake
Retard	Abortion
Retard	W
Retard	Chris-chan
Retard	Alcohol
Retard	Jessi Slaughter
Retard	Transgender
Retard	YOU ARE DOING IT WRONG
Retard	Fat Larry's Band
Retard	Scientology
Retard	Fucktard
O rly	Retard
O rly	O rly
O rly	16-year-old girl
O rly	Homosexuality
O rly	Japan
Moderator	13-year-old boy
Moderator	Furfag
Moderator	The Cancer That Is Killing /b/
Trolling IRL	Mexico
Trolling IRL	Islam
Trolling IRL	W
Trolling IRL	Best Korea
Trolling IRL	I did it for the lulz
Trolling IRL	IRL
Trolling IRL	Barack Obama
Trolling IRL	Columbine
Secks	13-year-old boy
Secks	Secks
Secks	Fap
Secks	Pr0n
Secks	List of sex moves
Secks	Drug
Secks	Barack Obama
Secks	JEWS DID WTC
Secks	Whore
Secks	Abortion
Secks	Scientology
Secks	Your Mom
Secks	Vagoo
Secks	IRL
Secks	Death
Secks	Buttsecks
Secks	Old people
Secks	Chris-chan
Secks	Ball
Secks	Fellatio
Secks	Transgender
Secks	Wimmins
Secks	Pedophilia
Secks	Party Van
Secks	Money
Secks	Alcohol
Secks	Murder
Secks	Divide by zero
Secks	Cock
Secks	Lulz
Secks	Homosexuality
Secks	Rape
Secks	BDSM
Secks	You
Incontinent Student Bodies	Mary Sue
Incontinent Student Bodies	Furfag
Incontinent Student Bodies	HAHAHA DISREGARD THAT, I SUCK COCKS
Incontinent Student Bodies	The Cancer That Is Killing /b/
Alcohol	Jews
Alcohol	Internet Tough Guy
Alcohol	Secks
Alcohol	Basement-dweller
Alcohol	India
Alcohol	Whore
Alcohol	Injuns
Alcohol	Redneck
Alcohol	Your Mom
Alcohol	Money
Alcohol	Suicide
Alcohol	Delicious Cake
Alcohol	United Kingdom
Fat Larry's Band	Furfag
