source	target
13-year-old boy	Liar
13-year-old boy	Homosexuality
13-year-old boy	16-year-old girl
13-year-old boy	Fucktard
13-year-old boy	Homosexuality
13-year-old boy	Camwhore
13-year-old boy	Fap
13-year-old boy	Pr0n
13-year-old boy	Lulz
13-year-old boy	Party Van
13-year-old boy	At least 100
13-year-old boy	You
13-year-old boy	Internets
13-year-old boy	Banned
13-year-old boy	Pedophilia
13-year-old boy	Internet Tough Guy
13-year-old boy	Cum
13-year-old boy	Liar
13-year-old boy	DeviantART
13-year-old boy	Faggot
13-year-old boy	Fail
13-year-old boy	Homosexuality
13-year-old boy	YouTube
13-year-old boy	Skript kiddie
13-year-old boy	Basement-dweller
13-year-old boy	Internet Tough Guy
13-year-old boy	Fat
13-year-old boy	Retard
13-year-old boy	Shit no one cares about
13-year-old boy	Buttsecks
13-year-old boy	Faggot
13-year-old boy	Fact
13-year-old boy	Shit no one cares about
13-year-old boy	Fellatio
13-year-old boy	Secks
13-year-old boy	Your Mom
13-year-old boy	Cock
13-year-old boy	Over 9000
13-year-old boy	Rape
13-year-old boy	Drug
13-year-old boy	Over 9000
13-year-old boy	Retard
13-year-old boy	Internets
13-year-old boy	Shit no one cares about
13-year-old boy	You
13-year-old boy	Secks
13-year-old boy	Internets
13-year-old boy	Unfunny
13-year-old boy	Homosexuality
13-year-old boy	Homosexuality
13-year-old boy	RAGE
13-year-old boy	Fail
13-year-old boy	Lulz
13-year-old boy	Homosexuality
13-year-old boy	Homosexuality
13-year-old boy	Homosexuality
13-year-old boy	Homosexuality
13-year-old boy	Your Mom
13-year-old boy	An hero
13-year-old boy	What
13-year-old boy	ALL CAPS
13-year-old boy	Meme
13-year-old boy	Pr0n
13-year-old boy	Pedophilia
13-year-old boy	Pwnt
13-year-old boy	Your Mom
13-year-old boy	Newbie
13-year-old boy	Fail
13-year-old boy	Fellatio
13-year-old boy	Homosexuality
13-year-old boy	Shit
13-year-old boy	Tits
13-year-old boy	White Devils
13-year-old boy	Barack Obama
13-year-old boy	Liar
13-year-old boy	Fat
13-year-old boy	An hero
13-year-old boy	Redneck
13-year-old boy	16-year-old girl
13-year-old boy	16-year-old girl
13-year-old boy	Fat Larry's Band
13-year-old boy	I'm 12 years old and what is this?
13-year-old boy	13-year-old boy
13-year-old boy	Teenager
13-year-old boy	Skript kiddie
13-year-old boy	Teenager
13-year-old boy	The Cancer That Is Killing /b/
13-year-old boy	Troll
13-year-old boy	13-year-old boy
13-year-old boy	Scientology
13-year-old boy	Retard
13-year-old boy	Faggot
13-year-old boy	Homosexuality
13-year-old boy	You
13-year-old boy	4chan
13-year-old boy	YouTube
16-year-old girl	Tits
16-year-old girl	Cock
16-year-old girl	Camwhore
16-year-old girl	YOU ARE DOING IT WRONG
16-year-old girl	Camwhore
16-year-old girl	YOU ARE DOING IT WRONG
16-year-old girl	Weblog
16-year-old girl	Retard
16-year-old girl	Pedophilia
16-year-old girl	Over 9000
16-year-old girl	Camwhore
16-year-old girl	At least 100
16-year-old girl	Pedophilia
16-year-old girl	Emo
16-year-old girl	Self Injury
16-year-old girl	Retard
16-year-old girl	Rape
16-year-old girl	Pro-Ana
16-year-old girl	Liar
16-year-old girl	Shit no one cares about
16-year-old girl	Unwarranted Self-Importance
16-year-old girl	Fat Larry's Band
16-year-old girl	At least 100
