Id	indegree	outdegree	Degree	modularity_class	pageranks
You	3200	384	3584	13	0,006796
Lulz	3987	117	4104	1	0,005699
Faggot	3827	73	3900	0	0,005615
Retard	3998	126	4124	38	0,004958
Homosexuality	3495	212	3707	40	0,004869
Internets	2534	181	2715	3	0,004832
Fail	3740	56	3796	32	0,004761
Rape	3394	163	3557	39	0,004729
Furfag	2852	231	3083	31	0,004478
Liar	3600	60	3660	19	0,004437
Troll	3044	110	3154	41	0,004029
Cock	2541	214	2755	63	0,003954
Fact	2965	94	3059	49	0,003929
Shit no one cares about	3292	50	3342	15	0,003812
Shit	3096	6	3102	34	0,003792
Jews	2356	243	2599	17	0,003672
Nigger	2346	240	2586	35	0,003627
Over 9000	2467	60	2527	11	0,003462
Fat	2258	154	2412	52	0,003336
At least 100	2134	34	2168	47	0,003311
IRL	1824	48	1872	8	0,003265
Whore	2428	128	2556	36	0,003229
Emo	2019	198	2217	12	0,003201
Secks	1900	95	1995	50	0,003009
Fap	2165	183	2348	18	0,002917
An hero	2242	160	2402	58	0,002912
Goatse	1831	138	1969	6	0,002902
4chan	1482	326	1808	9	0,002891
Butthurt	2649	86	2735	24	0,002886
Pedophilia	2053	191	2244	53	0,002715
Pwnt	1826	79	1905	60	0,002708
Sick fuck	1609	195	1804	22	0,002607
Buttsecks	1822	59	1881	40	0,002595
Some argue	1508	32	1540	29	0,002537
Bullshit	2258	82	2340	23	0,002537
Asperger's Syndrome	2141	289	2430	7	0,002479
Vagoo	1490	81	1571	39	0,002391
Pr0n	1489	108	1597	18	0,002388
Your Mom	1140	112	1252	54	0,002355
AIDS	1395	84	1479	40	0,002354
Unwarranted Self-Importance	2112	102	2214	51	0,002279
B/	1396	167	1563	9	0,002237
Wapanese	1328	220	1548	28	0,002212
Wikipedia	1056	224	1280	2	0,002208
Crap	1268	117	1385	21	0,002136
Encyclopædia Dramatica	976	100	1076	2	0,002117
Unfunny	1357	104	1461	61	0,00211
Jewnited States of Americunts	1344	291	1635	37	0,002098
TL;DR	1391	40	1431	5	0,002096
Anonymous	1493	131	1624	26	0,002087
16-year-old girl	1404	143	1547	21	0,002083
Wimmins	1241	222	1463	39	0,00208
YOU ARE DOING IT WRONG	985	66	1051	21	0,002062
13-year-old boy	1582	198	1780	4	0,00202
Attention Whore	1720	99	1819	36	0,002015
Basement-dweller	1724	155	1879	49	0,002004
YouTube	1535	202	1737	48	0,001893
Insane	1736	176	1912	30	0,001883
LiveJournal	880	68	948	8	0,001881
Lol	1454	47	1501	48	0,001853
Banned	1567	161	1728	24	0,001832
Fag	1422	7	1429	33	0,001827
Last Thursday	1574	25	1599	53	0,001777
Cum	1173	40	1213	20	0,001772
Lolicon	1244	95	1339	28	0,001736
Nazi	1283	171	1454	37	0,001719
Meme	928	74	1002	9	0,001717
Party Van	1129	75	1204	9	0,001702
LOL WUT	1615	46	1661	21	0,001684
God	1025	265	1290	46	0,00168
